Prison,Official Name,Opened,Closed,Gender,Classification,Latitude,Longitude,Capacity
New Plymouth,New Plymouth Prison,1860,2013,Men,minimum to high-medium ,-39.063645,174.073233,112
Napier	,Napier Prison,1862,1993,Men and Women,-,-39.4848025,176.9189467,275
Addington,Addington Prison,1874,1999,Men,-,-43.543537,172.6142436,80
Dunedin,Dunedin Prison,1896,2007,Men,-,-45.8764289,170.5030966,59
Invercargill,Invercargill Prison,1910,,Men,Minimum to low-medium,-46.404540,168.345050,181
Waikeria,Waikeria Prison,1911,,Men,Minimum to high,-38.099274,175.385206,709
Paparua,Christchurch Men's Prison,1915,,Men,Minimum to high ,-43.524803,172.465917,915
Tongariro and Rangipo,Tongariro Prison,1922,,Men,Minimum to low-medium ,-38.993894,175.846401,298
Mt Crawford,Wellington Prison,1927,2012,Men,,-41.294991,174.827241,120
Arohata,Arohata Prison,1944,,Women,Minimum to high security,-41.186579,174.826031,176
Rolleston,Rolleston Prison,1958,,Men,Minimum to low-medium ,-43.598755,172.345195,260
Rimutaka,Rimutaka Prison,1967,,Men,Minimum to high ,-41.156204,175.035281,1017
Paremoremo,Auckland Prison,1968,,Men,Minimum to maximum,-36.757022,174.642220,518
Christchurch Womenâ€™s,Christchurch Women's Prison,1974,,Women,Minimum to high,-43.528903,172.447568,116
Kaitoke,Whanganui Prison,1978,,Men,Minimum to high,-39.982711,175.095027,547
Linton,Manawatu Prison,1979,,Men,,-40.399946,175.570677,283
Hawkes Bay,Hawke's Bay Regional Prison,1989,,Men,Minimum to high ,-39.663500,176.782202,686
Mt Eden,Mt Eden Corrections Facility,2000,,Men,,-36.867621,174.766677,955
Ngawha,Northland Region Corrections Facility,2005,,Men,Minimum to high,-35.396932,173.858568,567
Auckland Women's,Auckland Region Women's Corrections Facility,2006,,Women,Minimum to maximum ,-37.011154,174.849807,425
Otago,Otago Corrections Facility,2007,,Men,Low to high-medium,-46.086084,170.008758,476
Spring Hill,Spring Hill Corrections Facility,2007,,Men,Minimum to high security,-37.373690,175.080961,893
Kohuora,Auckland South Corrections Facility,2015,,Men,Minimum to high security,-37.014861,174.850709,947